Context,Timestamp
Reading Instructions,04:03
VSCode,04:29
Reading Instructions,05:33
VSCode,06:05
Firefox,06:46
VSCode,07:15
Firefox,07:19
VSCode,07:20
Firefox,08:22
VSCode,10:02
Firefox,10:09
VSCode,10:20
Firefox,10:29
VSCode,10:49
Terminal,12:14
VSCode,12:16
Terminal,12:24
VSCode,12:53
Terminal,12:57
VSCode,13:17
Firefox,13:27
Reading Instructions,14:15
VSCode,14:24
Terminal,16:16
VSCode,16:22
Terminal,16:31
VSCode,16:42
Firefox,16:48
VSCode,18:27
Terminal,18:51
Firefox,18:53
Terminal,19:06
VSCode,19:08
Firefox,19:31
Terminal,19:46
VSCode,19:48
Firefox,20:06
VSCode,20:57
Firefox,21:14
VSCode,23:00
Firefox,23:07
End,23:18
